Date	Price
06/27/2025	"1,521.00"
06/26/2025	"1,553.00"
06/25/2025	"1,665.00"
06/24/2025	"1,681.00"
06/23/2025	"1,674.00"
06/20/2025	"1,689.00"
06/19/2025	"1,751.00"
06/18/2025	"1,874.00"
06/17/2025	"1,952.00"
06/16/2025	"1,975.00"
06/13/2025	"1,968.00"
06/12/2025	"1,904.00"
06/11/2025	"1,738.00"
06/10/2025	"1,680.00"
06/09/2025	"1,691.00"
06/06/2025	"1,633.00"
06/05/2025	"1,626.00"
06/04/2025	"1,489.00"
06/03/2025	"1,430.00"
06/02/2025	"1,422.00"
05/30/2025	"1,418.00"
05/29/2025	"1,353.00"
05/28/2025	"1,303.00"
05/27/2025	"1,296.00"
05/23/2025	"1,340.00"
05/22/2025	"1,341.00"
05/21/2025	"1,337.00"
05/20/2025	"1,340.00"
05/19/2025	"1,347.00"
05/16/2025	"1,388.00"
05/15/2025	"1,305.00"
05/14/2025	"1,267.00"
05/13/2025	"1,280.00"
05/12/2025	"1,304.00"
05/09/2025	"1,299.00"
05/08/2025	"1,316.00"
05/07/2025	"1,374.00"
05/06/2025	"1,406.00"
05/02/2025	"1,421.00"
05/01/2025	"1,411.00"
04/30/2025	"1,386.00"
04/29/2025	"1,398.00"
04/28/2025	"1,403.00"
04/25/2025	"1,373.00"
04/24/2025	"1,353.00"
04/23/2025	"1,300.00"
04/22/2025	"1,261.00"
04/17/2025	"1,261.00"
04/16/2025	"1,241.00"
04/15/2025	"1,263.00"
04/14/2025	"1,282.00"
04/11/2025	"1,274.00"
04/10/2025	"1,269.00"
04/09/2025	"1,259.00"
04/08/2025	"1,342.00"
04/07/2025	"1,401.00"
04/04/2025	"1,489.00"
04/03/2025	"1,540.00"
04/02/2025	"1,583.00"
04/01/2025	"1,587.00"
03/31/2025	"1,598.00"
03/28/2025	"1,602.00"
03/27/2025	"1,621.00"
03/26/2025	"1,634.00"
03/25/2025	"1,642.00"
03/24/2025	"1,652.00"
03/21/2025	"1,643.00"
03/20/2025	"1,635.00"
03/19/2025	"1,637.00"
03/18/2025	"1,650.00"
03/17/2025	"1,658.00"
03/14/2025	"1,669.00"
03/13/2025	"1,650.00"
03/12/2025	"1,559.00"
03/11/2025	"1,436.00"
03/10/2025	"1,424.00"
03/07/2025	"1,400.00"
03/06/2025	"1,286.00"
03/05/2025	"1,228.00"
03/04/2025	"1,262.00"
03/03/2025	"1,276.00"
02/28/2025	"1,229.00"
02/27/2025	"1,159.00"
02/26/2025	"1,112.00"
02/25/2025	"1,039.00"
02/24/2025	"1,002.00"
02/21/2025	981
02/20/2025	941
02/19/2025	904
02/18/2025	841
02/17/2025	806
02/14/2025	792
02/13/2025	780
02/12/2025	776
02/11/2025	801
02/10/2025	809
02/07/2025	815
02/06/2025	793
02/05/2025	771
02/04/2025	753
02/03/2025	738
01/31/2025	735
01/30/2025	715
01/29/2025	726
01/28/2025	746
01/27/2025	761
01/24/2025	778
01/23/2025	824
01/22/2025	893
01/21/2025	928
01/20/2025	957
01/17/2025	987
01/16/2025	"1,023.00"
01/15/2025	"1,063.00"
01/14/2025	"1,080.00"
01/13/2025	"1,093.00"
