Date	Price
06/30/2025	"39,663.00"
06/27/2025	"39,742.21"
06/26/2025	"39,351.32"
06/25/2025	"39,319.14"
06/24/2025	"39,474.46"
06/23/2025	"38,840.51"
06/20/2025	"39,231.35"
06/19/2025	"38,942.19"
06/18/2025	"39,418.61"
06/17/2025	"39,387.22"
06/16/2025	"39,929.18"
06/13/2025	"39,438.75"
06/12/2025	"39,948.39"
06/11/2025	"40,180.24"
06/10/2025	"40,207.57"
06/09/2025	"40,461.79"
06/06/2025	"40,601.94"
06/05/2025	"40,379.29"
06/04/2025	"40,080.88"
06/03/2025	"40,074.47"
06/02/2025	"39,984.15"
05/30/2025	"40,087.40"
05/29/2025	"39,982.97"
05/28/2025	"40,127.75"
05/27/2025	"40,124.90"
05/26/2025	"39,988.48"
05/23/2025	"39,475.36"
05/22/2025	"40,256.59"
05/21/2025	"40,551.22"
05/20/2025	"40,522.44"
05/19/2025	"40,166.77"
05/16/2025	"40,656.26"
05/15/2025	"40,418.82"
05/14/2025	"40,356.68"
05/13/2025	"40,077.49"
05/12/2025	"39,921.61"
05/09/2025	"39,369.99"
05/08/2025	"38,974.30"
05/07/2025	"38,319.89"
05/06/2025	"38,560.25"
05/05/2025	"38,475.55"
05/02/2025	"38,327.94"
04/30/2025	"37,604.82"
04/29/2025	"37,874.75"
04/28/2025	"37,465.52"
04/25/2025	"37,348.38"
04/24/2025	"36,808.69"
04/23/2025	"36,457.68"
04/22/2025	"35,947.89"
04/17/2025	"35,980.43"
04/16/2025	"36,067.57"
04/15/2025	"35,843.82"
04/14/2025	"35,007.14"
04/11/2025	"34,027.83"
04/10/2025	"34,277.09"
04/09/2025	"32,730.57"
04/08/2025	"33,657.05"
04/07/2025	"32,853.98"
04/04/2025	"34,649.22"
04/03/2025	"37,070.83"
04/02/2025	"38,454.20"
04/01/2025	"38,557.38"
03/31/2025	"38,051.99"
03/28/2025	"38,739.30"
03/27/2025	"39,098.86"
03/26/2025	"39,058.10"
03/25/2025	"39,384.95"
03/24/2025	"38,972.81"
03/21/2025	"39,035.71"
03/20/2025	"39,188.17"
03/19/2025	"39,712.66"
03/18/2025	"39,533.71"
03/17/2025	"39,022.40"
03/14/2025	"38,655.30"
03/13/2025	"37,999.73"
03/12/2025	"38,307.11"
